natTi(p,x)48V


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
37.9	27.47	1.15	2.96E+01	8.01E+02	2.96E+01
38.0	27.38	1.14	2.97E+01	8.02E+02	2.97E+01
38.1	27.29	1.14	2.97E+01	8.03E+02	2.97E+01
38.2	27.19	1.14	2.98E+01	8.04E+02	2.97E+01
38.3	27.10	1.13	2.98E+01	8.05E+02	2.98E+01
38.4	27.00	1.13	2.98E+01	8.06E+02	2.98E+01
38.5	26.91	1.12	2.99E+01	8.07E+02	2.98E+01
38.6	26.81	1.12	2.99E+01	8.08E+02	2.99E+01
38.7	26.72	1.12	2.99E+01	8.09E+02	2.99E+01
38.8	26.62	1.11	3.00E+01	8.10E+02	3.00E+01
38.9	26.52	1.11	3.00E+01	8.11E+02	3.00E+01
39.0	26.42	1.10	3.01E+01	8.12E+02	3.00E+01
39.1	26.32	1.10	3.01E+01	8.13E+02	3.01E+01
39.2	26.22	1.10	3.01E+01	8.15E+02	3.01E+01
39.3	26.12	1.09	3.02E+01	8.16E+02	3.01E+01
39.4	26.02	1.09	3.02E+01	8.17E+02	3.02E+01
39.5	25.92	1.08	3.02E+01	8.18E+02	3.02E+01
39.6	25.82	1.08	3.03E+01	8.19E+02	3.03E+01
39.7	25.72	1.07	3.03E+01	8.20E+02	3.03E+01
39.8	25.62	1.07	3.04E+01	8.21E+02	3.03E+01
39.9	25.51	1.07	3.04E+01	8.22E+02	3.04E+01
40.0	25.41	1.07	3.04E+01	8.23E+02	3.04E+01
40.1	25.30	1.07	3.05E+01	8.24E+02	3.04E+01
40.2	25.20	1.06	3.05E+01	8.25E+02	3.05E+01
40.3	25.10	1.06	3.05E+01	8.25E+02	3.05E+01
40.4	24.99	1.05	3.06E+01	8.26E+02	3.06E+01
40.5	24.88	1.05	3.06E+01	8.27E+02	3.06E+01
40.6	24.78	1.04	3.07E+01	8.28E+02	3.06E+01
40.7	24.67	1.04	3.07E+01	8.29E+02	3.07E+01
40.8	24.57	1.04	3.07E+01	8.30E+02	3.07E+01
40.9	24.46	1.03	3.08E+01	8.31E+02	3.07E+01
41.0	24.35	1.03	3.08E+01	8.32E+02	3.08E+01
41.1	24.24	1.02	3.08E+01	8.33E+02	3.08E+01
41.2	24.14	1.02	3.09E+01	8.34E+02	3.08E+01
41.3	24.03	1.01	3.09E+01	8.35E+02	3.09E+01
41.4	23.92	1.01	3.09E+01	8.36E+02	3.09E+01
41.5	23.82	1.00	3.10E+01	8.37E+02	3.09E+01
41.6	23.71	1.00	3.10E+01	8.38E+02	3.10E+01
41.7	23.60	0.99	3.10E+01	8.39E+02	3.10E+01
41.8	23.49	0.99	3.11E+01	8.40E+02	3.11E+01
41.9	23.39	0.99	3.11E+01	8.41E+02	3.11E+01
42.0	23.28	0.98	3.12E+01	8.42E+02	3.11E+01
42.1	23.17	0.98	3.12E+01	8.43E+02	3.12E+01
42.2	23.07	0.97	3.12E+01	8.44E+02	3.12E+01
42.3	22.96	0.97	3.13E+01	8.45E+02	3.12E+01
42.4	22.85	0.96	3.13E+01	8.46E+02	3.13E+01
42.5	22.75	0.96	3.13E+01	8.47E+02	3.13E+01
42.6	22.64	0.95	3.14E+01	8.48E+02	3.13E+01
42.7	22.54	0.95	3.14E+01	8.49E+02	3.14E+01
42.8	22.43	0.95	3.14E+01	8.49E+02	3.14E+01
42.9	22.33	0.94	3.15E+01	8.50E+02	3.14E+01
43.0	22.22	0.94	3.15E+01	8.51E+02	3.15E+01
43.1	22.12	0.93	3.15E+01	8.52E+02	3.15E+01
43.2	22.02	0.93	3.16E+01	8.53E+02	3.15E+01
43.3	21.92	0.92	3.16E+01	8.54E+02	3.16E+01
43.4	21.81	0.92	3.16E+01	8.55E+02	3.16E+01
43.5	21.71	0.92	3.17E+01	8.56E+02	3.16E+01
43.6	21.61	0.91	3.17E+01	8.57E+02	3.17E+01
43.7	21.51	0.91	3.17E+01	8.58E+02	3.17E+01
43.8	21.41	0.90	3.18E+01	8.59E+02	3.17E+01
43.9	21.32	0.90	3.18E+01	8.60E+02	3.18E+01
44.0	21.22	0.89	3.18E+01	8.60E+02	3.18E+01
44.1	21.12	0.89	3.19E+01	8.61E+02	3.18E+01
44.2	21.03	0.89	3.19E+01	8.62E+02	3.19E+01
44.3	20.93	0.88	3.19E+01	8.63E+02	3.19E+01
44.4	20.84	0.88	3.20E+01	8.64E+02	3.19E+01
44.5	20.74	0.87	3.20E+01	8.65E+02	3.20E+01
44.6	20.65	0.87	3.20E+01	8.66E+02	3.20E+01
44.7	20.56	0.87	3.21E+01	8.67E+02	3.20E+01
